description,category
Temple Donation Purchase,Miscellaneous
Appliance Store via UPI,Shopping
Netmeds Payment,Healthcare
Uber Recharge,Travel
Rapido,Travel
Bank Charges NEFT,Miscellaneous
Instamart Online,Groceries
Reliance Smart Bill,Groceries
Haldirams Transaction,Food
Clinic Visit via UPI,Healthcare
Supermarket Grocery Bill,Groceries
Event Ticket via UPI,Entertainment
Mall Purchase Recharge,Shopping
Bus Ticket via UPI,Travel
Milk Purchase Purchase,Groceries
Local Kirana via UPI,Groceries
General Store NEFT,Groceries
OTT Subscription IMPS,Entertainment
Amazon Prime Purchase,Entertainment
Daily Essentials Transaction,Groceries
Netflix,Entertainment
Bescom Online,Bills
Electronics Store Online,Shopping
Instamart App,Groceries
Instamart Online,Groceries
Daily Essentials IMPS,Groceries
Household Items NEFT,Groceries
Dental Treatment Auto-pay,Healthcare
Spotify Bill,Entertainment
Household Items App,Groceries
RedBus NEFT,Travel
Ola Purchase,Travel
Ola IMPS,Travel
Zomato NEFT,Food
OTT Subscription Payment,Entertainment
Amazon Prime NEFT,Entertainment
Local Cafe Transaction,Food
Rent Payment Bill,Bills
Parking Fee Payment,Miscellaneous
Ola NEFT,Travel
Ola Bill,Travel
Inox NEFT,Entertainment
Rapido Payment,Travel
Supermarket Grocery via UPI,Groceries
Flipkart Purchase,Shopping
Gaming Top-up Bill,Entertainment
Ola NEFT,Travel
Reliance Smart Transaction,Groceries
Gym Membership Bill,Miscellaneous
Nykaa Purchase,Shopping
ATM Withdrawal Bill,Miscellaneous
DMart NEFT,Groceries
Temple Donation App,Miscellaneous
Apollo Pharmacy Purchase,Healthcare
Sports Ticket via UPI,Entertainment
Inox Payment,Entertainment
Netmeds App,Healthcare
ATM Withdrawal IMPS,Miscellaneous
Dental Treatment Payment,Healthcare
Medical Lab Test IMPS,Healthcare
Spotify via UPI,Entertainment
Courier Service App,Miscellaneous
Nykaa Auto-pay,Shopping
Airtel Postpaid,Bills
Cafe Coffee Day Recharge,Food
Netmeds Transaction,Healthcare
Tata Power Transaction,Bills
Medical Lab Test Payment,Healthcare
Inox IMPS,Entertainment
Courier Service Recharge,Miscellaneous
MakeMyTrip App,Travel
Ajio Bill,Shopping
Clinic Visit Payment,Healthcare
Supermarket Grocery IMPS,Groceries
Nature's Basket Bill,Groceries
Appliance Store via UPI,Shopping
Household Items Purchase,Groceries
Ola Recharge,Travel
McDonalds via UPI,Food
Bescom,Bills
Instamart Auto-pay,Groceries
DTH Recharge Bill,Bills
Lifestyle Recharge,Shopping
Myntra NEFT,Shopping
MakeMyTrip Transaction,Travel
ATM Withdrawal IMPS,Miscellaneous
Event Ticket NEFT,Entertainment
Temple Donation Recharge,Miscellaneous
Restaurant Recharge,Food
Reliance Digital Payment,Shopping
ATM Withdrawal Online,Miscellaneous
Medical Lab Test Payment,Healthcare
BlueDart Recharge,Miscellaneous
1mg Auto-pay,Healthcare
Health Insurance App,Healthcare
KFC App,Food
Bescom Transaction,Bills
Electronics Store via UPI,Shopping
1mg IMPS,Healthcare
Steam Payment,Entertainment
Bikanervala NEFT,Food
Bus Ticket Payment,Travel
Dining Recharge,Food
Mall Purchase via UPI,Shopping
Shoppers Stop Bill,Shopping
Blinkit Purchase,Groceries
BookMyShow Transaction,Entertainment
Apollo Pharmacy Bill,Healthcare
Shoppers Stop Purchase,Shopping
Temple Donation Auto-pay,Miscellaneous
Parking Fee Bill,Miscellaneous
DTH Recharge Online,Bills
Amazon Prime Auto-pay,Entertainment
Cafe Coffee Day via UPI,Food
Zomato Payment,Food
Medical Lab Test,Healthcare
Air India App,Travel
Netmeds Auto-pay,Healthcare
Uber Transaction,Travel
Domino's Recharge,Food
Myntra NEFT,Shopping
BlueDart Recharge,Miscellaneous
Bus Ticket Payment,Travel
Tata Power NEFT,Bills
Health Insurance via UPI,Healthcare
Appliance Store via UPI,Shopping
KFC Bill,Food
Airtel Postpaid Payment,Bills
Street Food IMPS,Food
India Post,Miscellaneous
Practo via UPI,Healthcare
Charity IMPS,Miscellaneous
Gym Membership Payment,Miscellaneous
Health Insurance Bill,Healthcare
Croma Online,Shopping
Courier Service Online,Miscellaneous
Zomato Recharge,Food
Nykaa Payment,Shopping
Flight Ticket Payment,Travel
Sports Ticket Transaction,Entertainment
Hospital Bill App,Healthcare
Clothing Store,Shopping
Hotstar Bill,Entertainment
PVR Cinemas IMPS,Entertainment
Bescom Online,Bills
Supermarket Grocery Transaction,Groceries
BigBasket App,Groceries
Zepto Bill,Groceries
Appliance Store NEFT,Shopping
BookMyShow Bill,Entertainment
Courier Service Transaction,Miscellaneous
Ajio Recharge,Shopping
Event Ticket Online,Entertainment
DTH Recharge Online,Bills
Supermarket Grocery Payment,Groceries
Clothing Store Payment,Shopping
Rent Payment NEFT,Bills
Street Food via UPI,Food
Local Kirana Recharge,Groceries
BlueDart App,Miscellaneous
Zepto App,Groceries
Cab Ride Payment,Travel
Maintenance Charges App,Bills
Sports Ticket,Entertainment
General Store Transaction,Groceries
Daily Essentials Online,Groceries
Supermarket Grocery Bill,Groceries
Supermarket Grocery App,Groceries
Flipkart Online,Shopping
Courier Service NEFT,Miscellaneous
DTH Recharge Payment,Bills
Nykaa via UPI,Shopping
Flight Ticket NEFT,Travel
Appliance Store via UPI,Shopping
Gaming Top-up Auto-pay,Entertainment
Flight Ticket App,Travel
Local Cafe NEFT,Food
Maintenance Charges App,Bills
OTT Subscription App,Entertainment
Inox Auto-pay,Entertainment
Indigo Airlines Payment,Travel
Electronics Store via UPI,Shopping
Local Kirana IMPS,Groceries
Bakery Payment,Food
Clinic Visit App,Healthcare
Supermarket Grocery via UPI,Groceries
Amazon Transaction,Shopping
Coffee Shop IMPS,Food
Restaurant Bill,Food
Pharma Purchase,Healthcare
Restaurant Transaction,Food
Clothing Store Transaction,Shopping
Nature's Basket App,Groceries
IRCTC,Travel
Jio Recharge,Bills
Clothing Store Auto-pay,Shopping
MakeMyTrip Purchase,Travel
Vi Mobile Bill Purchase,Bills
Flipkart via UPI,Shopping
Uber Transaction,Travel
Metro Recharge IMPS,Travel
Metro Recharge via UPI,Travel
Tata Power Purchase,Bills
Mall Purchase App,Shopping
Metro Recharge Purchase,Travel
Courier Service Online,Miscellaneous
Reliance Digital IMPS,Shopping
Daily Essentials Auto-pay,Groceries
OTT Subscription NEFT,Entertainment
RedBus Transaction,Travel
Airport Taxi Transaction,Travel
Reliance Smart Transaction,Groceries
Airtel Postpaid App,Bills
OTT Subscription Auto-pay,Entertainment
Retail Store,Shopping
Dental Treatment Transaction,Healthcare
Lifestyle Auto-pay,Shopping
Metro Recharge Online,Travel
Water Bill Bill,Bills
Haldirams Online,Food
Restaurant Recharge,Food
Broadband Bill Payment,Bills
Milk Purchase Purchase,Groceries
Netflix via UPI,Entertainment
Street Food via UPI,Food
Steam Recharge,Entertainment
Flight Ticket Transaction,Travel
Haldirams Transaction,Food
Local Kirana Transaction,Groceries
Ola App,Travel
Nykaa Bill,Shopping
Clinic Visit Bill,Healthcare
Netflix App,Entertainment
Supermarket Grocery Bill,Groceries
Appliance Store Online,Shopping
Broadband Bill App,Bills
Ola Payment,Travel
Daily Essentials NEFT,Groceries
Air India via UPI,Travel
Myntra App,Shopping
Dental Treatment Recharge,Healthcare
ATM Withdrawal Online,Miscellaneous
Music Subscription Online,Entertainment
Parking Fee Purchase,Miscellaneous
Amazon Recharge,Shopping
Local Kirana IMPS,Groceries
1mg IMPS,Healthcare
Health Insurance Transaction,Healthcare
Netflix Transaction,Entertainment
DTH Recharge Recharge,Bills
Ola IMPS,Travel
Starbucks Bill,Food
Mahanagar Gas NEFT,Bills
Metro Recharge Recharge,Travel
Street Food Auto-pay,Food
Indigo Airlines NEFT,Travel
Airtel Postpaid App,Bills
BlueDart App,Miscellaneous
Gym Membership Recharge,Miscellaneous
India Post Recharge,Miscellaneous
Zepto IMPS,Groceries
Tata Power Purchase,Bills
Hospital Bill,Healthcare
Train Ticket Auto-pay,Travel
IRCTC via UPI,Travel
BlueDart App,Miscellaneous
Temple Donation Recharge,Miscellaneous
Myntra NEFT,Shopping
Event Ticket Bill,Entertainment
Gaming Top-up Auto-pay,Entertainment
Bakery Auto-pay,Food
Indigo Airlines App,Travel
Vi Mobile Bill via UPI,Bills
Bakery App,Food
Retail Store App,Shopping
Street Food Auto-pay,Food
Reliance Digital Payment,Shopping
Health Insurance Purchase,Healthcare
1mg Purchase,Healthcare
Dental Treatment Purchase,Healthcare
Reliance Smart App,Groceries
Broadband Bill IMPS,Bills
Bakery Bill,Food
Tata Power NEFT,Bills
Jio Recharge Payment,Bills
Dental Treatment IMPS,Healthcare
Swiggy Auto-pay,Food
Starbucks IMPS,Food
Amazon Auto-pay,Shopping
Electronics Store Transaction,Shopping
Practo Recharge,Healthcare
Parking Fee via UPI,Miscellaneous
Restaurant Transaction,Food
Amazon,Shopping
Nykaa Auto-pay,Shopping
DTH Recharge IMPS,Bills
Doctor Consultation via UPI,Healthcare
Mahanagar Gas Payment,Bills
Bikanervala IMPS,Food
Zepto IMPS,Groceries
BlueDart Online,Miscellaneous
Hotstar IMPS,Entertainment
DTH Recharge NEFT,Bills
Broadband Bill via UPI,Bills
Airport Taxi,Travel
Bikanervala,Food
Amazon Prime Auto-pay,Entertainment
Retail Store Purchase,Shopping
Supermarket Grocery App,Groceries
Household Items Auto-pay,Groceries
OTT Subscription NEFT,Entertainment
Spotify Online,Entertainment
Parking Fee Transaction,Miscellaneous
Mall Purchase Auto-pay,Shopping
Flipkart Auto-pay,Shopping
Shoppers Stop Recharge,Shopping
Indigo Airlines NEFT,Travel
Sports Ticket,Entertainment
Mahanagar Gas Transaction,Bills
Uber Bill,Travel
Bakery Auto-pay,Food
Local Kirana Payment,Groceries
Rent Payment Recharge,Bills
Inox Auto-pay,Entertainment
BookMyShow via UPI,Entertainment
PVR Cinemas Recharge,Entertainment
Local Cafe IMPS,Food
Mahanagar Gas via UPI,Bills
Amazon Prime Recharge,Entertainment
Flipkart,Shopping
Mall Purchase via UPI,Shopping
Appliance Store IMPS,Shopping
BlueDart App,Miscellaneous
BigBasket Purchase,Groceries
Restaurant via UPI,Food
Pharma NEFT,Healthcare
Metro Recharge Online,Travel
Maintenance Charges Bill,Bills
Air India Auto-pay,Travel
Rapido Bill,Travel
Spotify Purchase,Entertainment
Cafe Coffee Day IMPS,Food
Charity App,Miscellaneous
Sports Ticket Auto-pay,Entertainment
Steam NEFT,Entertainment
Spotify IMPS,Entertainment
Local Cafe via UPI,Food
Airport Taxi Transaction,Travel
Household Items Bill,Groceries
Doctor Consultation Auto-pay,Healthcare
Hospital Bill via UPI,Healthcare
Medical Lab Test Bill,Healthcare
Clinic Visit Purchase,Healthcare
Local Cafe Recharge,Food
Nature's Basket Auto-pay,Groceries
Ajio Bill,Shopping
Air India IMPS,Travel
Electricity Bill Recharge,Bills
Croma NEFT,Shopping
Spotify Auto-pay,Entertainment
Spotify Online,Entertainment
Domino's Payment,Food
BigBasket Bill,Groceries
PVR Cinemas Payment,Entertainment
Netflix,Entertainment
Appliance Store NEFT,Shopping
Apollo Pharmacy Transaction,Healthcare
Appliance Store Bill,Shopping
OTT Subscription Auto-pay,Entertainment
Sports Ticket Auto-pay,Entertainment
Cafe Coffee Day Recharge,Food
Bakery Transaction,Food
Gaming Top-up via UPI,Entertainment
Health Insurance IMPS,Healthcare
Nykaa via UPI,Shopping
Daily Essentials,Groceries
Metro Recharge Auto-pay,Travel
Bank Charges Transaction,Miscellaneous
Mall Purchase Payment,Shopping
BigBasket Purchase,Groceries
Temple Donation Bill,Miscellaneous
Parking Fee App,Miscellaneous
India Post Purchase,Miscellaneous
Street Food Payment,Food
Haldirams Auto-pay,Food
KFC via UPI,Food
Tata Power via UPI,Bills
Household Items App,Groceries
Apollo Pharmacy NEFT,Healthcare
Haldirams Bill,Food
Air India Recharge,Travel
Hotstar Auto-pay,Entertainment
BlueDart Bill,Miscellaneous
1mg App,Healthcare
Supermarket Grocery Bill,Groceries
Daily Essentials Payment,Groceries
Nykaa Auto-pay,Shopping
Instamart NEFT,Groceries
Gaming Top-up Auto-pay,Entertainment
Bescom IMPS,Bills
Courier Service Payment,Miscellaneous
BlueDart via UPI,Miscellaneous
BlueDart Auto-pay,Miscellaneous
Charity Recharge,Miscellaneous
Gym Membership Purchase,Miscellaneous
Mahanagar Gas Transaction,Bills
Train Ticket IMPS,Travel
Indigo Airlines App,Travel
DMart Payment,Groceries
Coffee Shop Payment,Food
Bakery Purchase,Food
BookMyShow,Entertainment
Street Food Online,Food
Donation Purchase,Miscellaneous
Coffee Shop Recharge,Food
Sports Ticket Recharge,Entertainment
Bus Ticket Bill,Travel
Sports Ticket Auto-pay,Entertainment
Temple Donation via UPI,Miscellaneous
Inox Auto-pay,Entertainment
Dining IMPS,Food
India Post Bill,Miscellaneous
Apollo Pharmacy via UPI,Healthcare
Clinic Visit via UPI,Healthcare
Parking Fee Payment,Miscellaneous
Retail Store NEFT,Shopping
Airport Taxi Payment,Travel
Air India via UPI,Travel
Clinic Visit Auto-pay,Healthcare
Indigo Airlines Auto-pay,Travel
Local Cafe NEFT,Food
Medical Lab Test,Healthcare
Jio Recharge via UPI,Bills
Retail Store Purchase,Shopping
Reliance Smart Online,Groceries
Doctor Consultation Bill,Healthcare
Hospital Bill,Healthcare
Apollo Pharmacy Bill,Healthcare
Bikanervala App,Food
Event Ticket Online,Entertainment
Metro Recharge Bill,Travel
Domino's,Food
Hotstar IMPS,Entertainment
1mg App,Healthcare
Restaurant Payment,Food
Flipkart App,Shopping
Sports Ticket Online,Entertainment
BigBasket,Groceries
Amazon Prime via UPI,Entertainment
Mall Purchase Payment,Shopping
Apollo Pharmacy Online,Healthcare
Myntra Purchase,Shopping
KFC Transaction,Food
Blinkit via UPI,Groceries
RedBus Bill,Travel
Domino's Auto-pay,Food
Dental Treatment,Healthcare
Airport Taxi Recharge,Travel
Mahanagar Gas Online,Bills
Daily Essentials Bill,Groceries
Milk Purchase Payment,Groceries
Airport Taxi Bill,Travel
DMart,Groceries
Parking Fee via UPI,Miscellaneous
Milk Purchase,Groceries
Pharma Transaction,Healthcare
Retail Store IMPS,Shopping
Amazon Prime Auto-pay,Entertainment
Reliance Smart IMPS,Groceries
Netflix Bill,Entertainment
Doctor Consultation via UPI,Healthcare
PVR Cinemas Online,Entertainment
Swiggy,Food
Vi Mobile Bill Recharge,Bills
KFC IMPS,Food
Ola App,Travel
Bikanervala NEFT,Food
Tata Power IMPS,Bills
DTH Recharge via UPI,Bills
India Post Auto-pay,Miscellaneous
Amazon App,Shopping
Flipkart Bill,Shopping
Starbucks NEFT,Food
Spotify Online,Entertainment
Myntra Bill,Shopping
Retail Store Recharge,Shopping
Ola NEFT,Travel
Event Ticket Auto-pay,Entertainment
Croma App,Shopping
Cult.fit Recharge,Miscellaneous
Music Subscription Auto-pay,Entertainment
Street Food Transaction,Food
Maintenance Charges,Bills
Starbucks Bill,Food
Bakery Bill,Food
Train Ticket Bill,Travel
Retail Store via UPI,Shopping
Daily Essentials NEFT,Groceries
PVR Cinemas Payment,Entertainment
Doctor Consultation Auto-pay,Healthcare
DTH Recharge Transaction,Bills
Indigo Airlines Transaction,Travel
Electricity Bill Bill,Bills
Bescom IMPS,Bills
Appliance Store IMPS,Shopping
DMart App,Groceries
Donation via UPI,Miscellaneous
Broadband Bill Purchase,Bills
Temple Donation Recharge,Miscellaneous
Medical Lab Test Auto-pay,Healthcare
India Post App,Miscellaneous
Shoppers Stop Online,Shopping
BlueDart NEFT,Miscellaneous
Supermarket Grocery App,Groceries
Inox,Entertainment
Lifestyle NEFT,Shopping
Parking Fee Auto-pay,Miscellaneous
Coffee Shop Bill,Food
Clinic Visit Recharge,Healthcare
Cult.fit Payment,Miscellaneous
Practo Recharge,Healthcare
Airport Taxi Purchase,Travel
Flipkart via UPI,Shopping
Netmeds App,Healthcare
Airtel Postpaid Recharge,Bills
Steam Purchase,Entertainment
Bescom via UPI,Bills
Bus Ticket App,Travel
Netmeds NEFT,Healthcare
Pharma Bill,Healthcare
Reliance Digital Payment,Shopping
Blinkit IMPS,Groceries
India Post Payment,Miscellaneous
1mg Online,Healthcare
Courier Service Transaction,Miscellaneous
McDonalds NEFT,Food
Temple Donation,Miscellaneous
Rent Payment Payment,Bills
ATM Withdrawal IMPS,Miscellaneous
Dining,Food
Water Bill via UPI,Bills
Mahanagar Gas IMPS,Bills
Zepto Auto-pay,Groceries
Maintenance Charges IMPS,Bills
Apollo Pharmacy NEFT,Healthcare
Water Bill Bill,Bills
BlueDart Transaction,Miscellaneous
Broadband Bill Purchase,Bills
Pharma via UPI,Healthcare
Netflix App,Entertainment
Rent Payment NEFT,Bills
Electricity Bill Bill,Bills
Restaurant NEFT,Food
Parking Fee App,Miscellaneous
Local Cafe Transaction,Food
Reliance Digital Payment,Shopping
DMart Payment,Groceries
Rapido Purchase,Travel
1mg Bill,Healthcare
Pharma Online,Healthcare
Coffee Shop Online,Food
Health Insurance Recharge,Healthcare
Netflix Transaction,Entertainment
Maintenance Charges Auto-pay,Bills
Vi Mobile Bill NEFT,Bills
Zomato Bill,Food
Spotify App,Entertainment
Local Kirana NEFT,Groceries
Event Ticket Bill,Entertainment
Pharma Transaction,Healthcare
Netflix Recharge,Entertainment
Courier Service Purchase,Miscellaneous
Charity via UPI,Miscellaneous
Maintenance Charges Payment,Bills
Air India Payment,Travel
Rapido Auto-pay,Travel
Instamart Online,Groceries
Steam Purchase,Entertainment
DTH Recharge NEFT,Bills
Blinkit NEFT,Groceries
Dining Purchase,Food
Jio Recharge NEFT,Bills
Indigo Airlines Transaction,Travel
McDonalds IMPS,Food
Blinkit Purchase,Groceries
Sports Ticket Bill,Entertainment
Gym Membership Online,Miscellaneous
Daily Essentials App,Groceries
OTT Subscription via UPI,Entertainment
Gym Membership Bill,Miscellaneous
Electricity Bill NEFT,Bills
Electronics Store Auto-pay,Shopping
Zomato IMPS,Food
Vi Mobile Bill Payment,Bills
Hospital Bill Payment,Healthcare
BlueDart Transaction,Miscellaneous
Daily Essentials,Groceries
Train Ticket Bill,Travel
Mahanagar Gas Purchase,Bills
Medical Lab Test Transaction,Healthcare
Hospital Bill Transaction,Healthcare
Household Items Auto-pay,Groceries
Sports Ticket Auto-pay,Entertainment
DMart Recharge,Groceries
Doctor Consultation Bill,Healthcare
1mg IMPS,Healthcare
Indigo Airlines App,Travel
MakeMyTrip Payment,Travel
Netmeds,Healthcare
Electricity Bill Online,Bills
Courier Service Purchase,Miscellaneous
Zomato Payment,Food
Temple Donation Recharge,Miscellaneous
Local Cafe Bill,Food
Sports Ticket App,Entertainment
Doctor Consultation App,Healthcare
Lifestyle Payment,Shopping
Mahanagar Gas Transaction,Bills
Charity Payment,Miscellaneous
Charity Auto-pay,Miscellaneous
KFC Auto-pay,Food
Bescom App,Bills
India Post Payment,Miscellaneous
Steam NEFT,Entertainment
Steam App,Entertainment
Train Ticket Recharge,Travel
PVR Cinemas App,Entertainment
Swiggy Recharge,Food
Amazon Prime Online,Entertainment
Hotstar Recharge,Entertainment
Pharma,Healthcare
Restaurant NEFT,Food
Flight Ticket,Travel
Health Insurance,Healthcare
Flipkart Purchase,Shopping
ATM Withdrawal Online,Miscellaneous
Sports Ticket Recharge,Entertainment
Coffee Shop Payment,Food
Courier Service IMPS,Miscellaneous
OTT Subscription Recharge,Entertainment
Restaurant IMPS,Food
Local Cafe NEFT,Food
Amazon App,Shopping
Courier Service,Miscellaneous
Temple Donation via UPI,Miscellaneous
ATM Withdrawal Recharge,Miscellaneous
OTT Subscription,Entertainment
Household Items NEFT,Groceries
Cult.fit,Miscellaneous
Practo IMPS,Healthcare
Reliance Digital Recharge,Shopping
Local Kirana Bill,Groceries
IRCTC Transaction,Travel
Clinic Visit Payment,Healthcare
Maintenance Charges Online,Bills
BigBasket,Groceries
Domino's Auto-pay,Food
BigBasket,Groceries
Hospital Bill via UPI,Healthcare
Local Kirana Online,Groceries
Tata Power,Bills
Myntra Auto-pay,Shopping
McDonalds Recharge,Food
Ajio Auto-pay,Shopping
Steam Online,Entertainment
Sports Ticket Transaction,Entertainment
MakeMyTrip App,Travel
Water Bill Bill,Bills
Lifestyle Transaction,Shopping
Hospital Bill via UPI,Healthcare
Bus Ticket via UPI,Travel
Bus Ticket Purchase,Travel
Milk Purchase Payment,Groceries
Street Food Transaction,Food
Flipkart Auto-pay,Shopping
Gaming Top-up App,Entertainment
Indigo Airlines Online,Travel
DMart Online,Groceries
Event Ticket Auto-pay,Entertainment
Uber Online,Travel
Medical Lab Test Payment,Healthcare
Dining IMPS,Food
Indigo Airlines Recharge,Travel
Cab Ride Bill,Travel
Zomato,Food
Practo IMPS,Healthcare
Health Insurance IMPS,Healthcare
Gaming Top-up via UPI,Entertainment
Amazon Recharge,Shopping
Mahanagar Gas Bill,Bills
Nature's Basket Payment,Groceries
Vi Mobile Bill Payment,Bills
Spotify Purchase,Entertainment
Amazon Bill,Shopping
Reliance Digital Auto-pay,Shopping
Broadband Bill,Bills
Local Cafe NEFT,Food
Dental Treatment Purchase,Healthcare
Medical Lab Test Payment,Healthcare
Reliance Digital Payment,Shopping
Music Subscription via UPI,Entertainment
Clinic Visit IMPS,Healthcare
Myntra Auto-pay,Shopping
Zomato Payment,Food
Reliance Digital App,Shopping
PVR Cinemas Auto-pay,Entertainment
Airtel Postpaid NEFT,Bills
Local Cafe via UPI,Food
Netmeds IMPS,Healthcare
Rapido Recharge,Travel
Supermarket Grocery Bill,Groceries
Bank Charges Recharge,Miscellaneous
Household Items Bill,Groceries
Bank Charges Purchase,Miscellaneous
BookMyShow IMPS,Entertainment
Netmeds,Healthcare
Gaming Top-up Auto-pay,Entertainment
KFC Auto-pay,Food
Restaurant Bill,Food
Music Subscription Bill,Entertainment
Amazon Prime via UPI,Entertainment
Vi Mobile Bill Recharge,Bills
Netmeds Recharge,Healthcare
General Store NEFT,Groceries
MakeMyTrip via UPI,Travel
Reliance Smart Online,Groceries
Retail Store Purchase,Shopping
Vi Mobile Bill Recharge,Bills
Jio Recharge App,Bills
Dental Treatment Auto-pay,Healthcare
Rapido Recharge,Travel
Milk Purchase via UPI,Groceries
Inox via UPI,Entertainment
Instamart Recharge,Groceries
Tata Power NEFT,Bills
Nature's Basket via UPI,Groceries
Spotify App,Entertainment
Charity via UPI,Miscellaneous
Inox IMPS,Entertainment
Reliance Smart IMPS,Groceries
Cult.fit Auto-pay,Miscellaneous
Swiggy Purchase,Food
Domino's App,Food
Maintenance Charges Recharge,Bills
BookMyShow via UPI,Entertainment
Instamart,Groceries
Swiggy NEFT,Food
Electricity Bill NEFT,Bills
Clothing Store Auto-pay,Shopping
Spotify Recharge,Entertainment
MakeMyTrip Bill,Travel
Nykaa Transaction,Shopping
Appliance Store Transaction,Shopping
Clothing Store Online,Shopping
BookMyShow Recharge,Entertainment
Clinic Visit Online,Healthcare
Rent Payment Purchase,Bills
General Store Purchase,Groceries
Uber Auto-pay,Travel
Health Insurance Payment,Healthcare
Appliance Store Online,Shopping
Bank Charges Purchase,Miscellaneous
Airport Taxi Online,Travel
Pharma NEFT,Healthcare
Bank Charges Auto-pay,Miscellaneous
Clinic Visit Payment,Healthcare
PVR Cinemas IMPS,Entertainment
Parking Fee Auto-pay,Miscellaneous
DMart,Groceries
Pharma Online,Healthcare
Cab Ride Bill,Travel
PVR Cinemas Recharge,Entertainment
Bakery Bill,Food
Temple Donation,Miscellaneous
Tata Power Payment,Bills
Sports Ticket IMPS,Entertainment
BookMyShow Recharge,Entertainment
KFC Payment,Food
Mahanagar Gas Online,Bills
Charity Transaction,Miscellaneous
Sports Ticket Bill,Entertainment
KFC Transaction,Food
Croma Transaction,Shopping
Air India IMPS,Travel
Cab Ride via UPI,Travel
Dental Treatment,Healthcare
Amazon Prime Auto-pay,Entertainment
Electronics Store Recharge,Shopping
Restaurant Purchase,Food
Temple Donation Purchase,Miscellaneous
Jio Recharge NEFT,Bills
Electricity Bill App,Bills
Cab Ride Online,Travel
Spotify NEFT,Entertainment
Cult.fit Bill,Miscellaneous
Household Items Payment,Groceries
Flipkart,Shopping
Local Kirana,Groceries
Mall Purchase Purchase,Shopping
Flipkart Transaction,Shopping
Medical Lab Test Purchase,Healthcare
BookMyShow Online,Entertainment
Donation via UPI,Miscellaneous
Milk Purchase Transaction,Groceries
Haldirams Bill,Food
Retail Store Recharge,Shopping
Local Kirana,Groceries
Train Ticket App,Travel
1mg Online,Healthcare
BigBasket NEFT,Groceries
BlueDart App,Miscellaneous
Bikanervala IMPS,Food
RedBus App,Travel
MakeMyTrip,Travel
DTH Recharge Recharge,Bills
Flight Ticket IMPS,Travel
Music Subscription Purchase,Entertainment
Airport Taxi via UPI,Travel
Mahanagar Gas via UPI,Bills
Music Subscription Transaction,Entertainment
Netflix Purchase,Entertainment
OTT Subscription IMPS,Entertainment
Electronics Store Payment,Shopping
Pharma Purchase,Healthcare
Courier Service via UPI,Miscellaneous
Apollo Pharmacy Bill,Healthcare
Zepto,Groceries
Milk Purchase Auto-pay,Groceries
MakeMyTrip,Travel
India Post Transaction,Miscellaneous
Spotify App,Entertainment
Rapido Online,Travel
Domino's Recharge,Food
Tata Power Online,Bills
Netflix Transaction,Entertainment
Metro Recharge Auto-pay,Travel
Retail Store IMPS,Shopping
Household Items Payment,Groceries
Indigo Airlines Payment,Travel
Practo Transaction,Healthcare
Instamart NEFT,Groceries
Temple Donation IMPS,Miscellaneous
Rent Payment Payment,Bills
